// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
17088		-0.989858	1.086860	6.689585	-9.619931	-0.785306	-0.380643	-2.926614	4.766174	31.464202			0.000000			
17089		-0.699472	-0.214217	7.064525	-10.186537	-1.004176	-0.441399	-8.776875	4.166786	31.278226			0.000000			
17090		-0.596333	-2.193184	7.579283	-10.881755	-1.282635	-0.649903	-15.026443	3.370882	31.071439			0.000000			
17091		-0.243737	-5.572628	7.264932	-11.343628	-1.556277	-1.056346	-21.539601	2.334790	30.783766			0.000000			
17092		1.567273	-12.520676	2.767495	-9.086399	-1.380695	-1.255301	-26.757365	1.319999	30.457357			0.000000			
17093		4.294866	-18.667150	-0.465057	-3.356944	0.179794	0.532106	-28.674843	1.553811	30.685886			0.000000			
17094		0.432075	-14.643191	4.364332	2.422543	1.834128	0.570434	-27.295121	2.636523	30.487487			0.000000			
17095		-0.168409	-6.346333	8.795840	5.071694	2.599383	0.259740	-24.419966	4.041857	29.975768			0.000000			
17096		-1.712691	-1.949945	11.180536	5.059532	2.727863	0.202940	-21.563575	5.526744	29.476968			0.000000			
17097		-3.166010	0.570069	12.395693	3.221961	2.233040	0.080921	-19.761733	6.739978	29.071450			0.000000			
17098		-3.989962	1.677439	12.511745	0.469329	1.293298	0.089817	-19.518092	7.455626	28.875718			0.000000			
17099		-3.490007	-0.133301	11.601057	-1.934305	0.343454	0.103791	-20.627640	7.660820	28.869832			0.000000			
17100		-2.539752	-2.829581	11.040678	-3.286399	-0.341141	0.175691	-22.488807	7.516697	29.043122			0.000000			
17101		-2.008637	-4.827012	10.076376	-3.881490	-0.867858	0.246977	-24.670042	7.118095	29.380817			0.000000			
17102		-1.253695	-7.055652	7.884944	-3.203393	-0.936461	0.250912	-26.462025	6.697244	29.750998			0.000000			
17103		-0.708300	-8.787324	5.940388	-0.915035	-0.506292	0.200746	-26.959097	6.490676	29.991910			0.000000			
17104		-0.745484	-7.701408	6.987574	1.536756	0.044828	0.138240	-26.072177	6.550233	30.058000			0.000000			
17105		-1.190294	-5.239428	9.018905	2.687215	0.295080	0.130675	-24.533240	6.735737	30.059123			0.000000			
17106		-1.289542	-3.410127	9.982218	2.533932	0.256943	0.101362	-23.082483	6.894783	30.059136			0.000000			
17107		-1.414241	-2.579973	10.328724	1.683334	0.057119	0.061371	-22.115747	6.938871	30.084947			0.000000			
17108		-1.407570	-2.361932	10.353868	0.577717	-0.239484	0.015210	-21.777897	6.815569	30.151122			0.000000			
17109		-1.155201	-2.725542	9.968047	-0.459760	-0.521354	-0.007437	-22.028751	6.537131	30.265321			0.000000			
17110		-0.805145	-3.495907	9.385313	-1.118952	-0.662050	-0.010139	-22.654766	6.184827	30.411368			0.000000			
17111		-0.609782	-4.520150	8.309940	-1.117171	-0.608778	0.000096	-23.280499	5.864095	30.554289			0.000000			
17112		-0.528780	-5.187950	7.620024	-0.270499	-0.354176	-0.000532	-23.427825	5.678538	30.641206			0.000000			
17113		-0.715868	-4.919353	8.021539	0.820336	-0.073851	0.023589	-22.955115	5.645344	30.676221			0.000000			
17114		-1.023380	-3.977998	9.059695	1.291837	0.006402	0.065909	-22.212089	5.664014	30.716199			0.000000			
17115		-1.165979	-3.318314	9.653817	1.117050	-0.087620	0.088457	-21.565837	5.636547	30.787970			0.000000			
17116		-1.028841	-3.042737	9.770293	0.621514	-0.248446	0.084228	-21.200738	5.522241	30.891639			0.000000			
17117		-0.958443	-3.277818	9.527193	0.182249	-0.364715	0.059603	-21.086354	5.339810	31.005150			0.000000			
17118		-0.784410	-3.640414	9.053756	0.088094	-0.371767	0.043001	-21.027243	5.150491	31.111462			0.000000			
17119		-0.648748	-3.895742	8.834000	0.301312	-0.264112	0.020323	-20.849086	5.013438	31.182475			0.000000			
17120		-0.653542	-3.789490	8.982697	0.574725	-0.140333	0.000841	-20.517811	4.938957	31.217805			0.000000			
17121		-0.857797	-3.452125	9.109959	0.637101	-0.091886	-0.023689	-20.152625	4.884902	31.229118			0.000000			
17122		-0.993771	-3.177150	9.160128	0.585130	-0.100844	-0.050146	-19.818529	4.821276	31.228215			0.000000			
17123		-1.049504	-3.058007	9.421941	0.447667	-0.162839	-0.066200	-19.562728	4.720617	31.229679			0.000000			
17124		-0.977440	-3.160770	9.438430	0.261984	-0.264433	-0.069510	-19.412132	4.564939	31.249098			0.000000			
17125		-0.753630	-3.365666	9.305332	0.131792	-0.331510	-0.070341	-19.335010	4.372336	31.279982			0.000000			
17126		-0.532278	-3.687557	9.067221	0.121315	-0.333234	-0.076591	-19.264487	4.178051	31.308105			0.000000			
17127		-0.403057	-3.949439	8.913288	0.294498	-0.274329	-0.066033	-19.095029	4.017083	31.329817			0.000000			
